,District,VDC,Direction,Bedroom,Bathroom,Living,Parking_sqft,Road_size_ft,Land_sqft,Price
576,Kathmandu,"Rudreshwor, Budhanilkantha",South,6,6,1,425.0,,235.29,85000000.0
578,Kathmandu,"Rudreshwor, Budhanilkantha",East,5,4,1,170.0,20.0,21.39,67500000.0
580,Kathmandu,Pasikot,South West,5,4,1,425.0,16.0,427.8,100000000.0
582,Kathmandu,Muhan-Pokhari,North East,5,5,1,170.0,16.0,235.29,57500000.0
584,Kathmandu,Budhanilkantha Kathmandu,East,1,1,1,425.0,13.0,21.39,48000000.0
586,Kathmandu,"Golfutar, Budhanilkantha",East,1,1,1,170.0,20.0,192.51,85000000.0
588,Kathmandu,Mandikatar Near Hams Hospital,South East,6,6,1,170.0,,106.95,47500000.0
590,Kathmandu,Mandikatar,East,1,1,1,22.0,,85.56,39000000.0
592,Kathmandu,"Rudreshwor, Budhanilkantha",East,4,4,1,170.0,20.0,21.39,47500000.0
594,Kathmandu,Pasikot,East,1,1,1,22.0,,106.95,42000000.0
596,Kathmandu,"Tarkeswor, Paiyatar",South East,8-12,3,11,22.0,13.0,1026.72,17500000.0
598,Kathmandu,Brahmakhel,North,4,2,1,22.0,22.0,1197.84,25000000.0
600,Kathmandu,Dhapasi Height,East,6,2,1,22.0,6.0,21.39,13500000.0
602,Kathmandu,Budhanagar,East,7,3,10,85.0,16.0,21.39,70000000.0
604,Kathmandu,Nepaltar,East,8-12,4,13+,85.0,9.0,21817.8,21000000.0
606,Kathmandu,Sesmati Nepaltar,South,8-12,5,13+,85.0,13.0,342.24,22500000.0
608,Kathmandu,Jaranku,East,5,6,10,425.0,20.0,106.95,28500000.0
610,Kathmandu,Jaranku,West,8-12,5,1,85.0,13.0,1048.11,22000000.0
612,Kathmandu,Jaranku,North East,8-12,5,11,85.0,13.0,1026.72,21900000.0
614,Kathmandu,Lolang,South East,7,6,13+,85.0,13.0,25774.95,29000000.0
616,Kathmandu,Tarkeshower,East,1,3,11,85.0,10.0,21390.0,18500000.0
618,Kathmandu,Pepsicola Kadaghari,South,8-12,3,15,85.0,13.0,1368.96,32000000.0
